transaction date,cust,notes,item,unit,current stock,qty
28.02.2026,NEO,-,TOP PANEL HE TP PHILIPS MLU HC3530,pcs,,1092
28.02.2026,SIGMA,-,Panel Holder,pcs,,50000
28.02.2026,SIGMA,-,Panel Holder,pcs,,25000
28.02.2026,YIN YANG,-,Optilight Lightguide Yin Yang,pcs,,10000
28.02.2026,NEO,-,Thinning Comb Batam,pcs,,320
28.02.2026,NEO,-,Thinning Comb Batam,pcs,,320
28.02.2026,RAMBO,-,Motor Suspension Plate_RK,pcs,,16000
28.02.2026,SALT,-,One Blade P-Cap (Version),pcs,,4320
28.02.2026,SALT,-,One Blade P-Cap (Version),pcs,,4320
28.02.2026,YIN YANG,-,Head Interface Optilight Arctic White,pcs,,4000
28.02.2026,YIN YANG,-,On Off Button Yin LLB TP,pcs,,30000
28.02.2026,NEO,-,I/O BUTTON BLACK TP,pcs,,1560
28.02.2026,NEO,-,I/O BUTTON BLACK TP,pcs,,1560
28.02.2026,NEO,-,TOP PANEL MALIBU LE TP PHILIPS NEO MLU M,pcs,,3780
28.02.2026,NEO,-,TOP PANEL MALIBU LE TP PHILIPS NEO MLU M,pcs,,588
28.02.2026,NEO,-,TOP PANEL MALIBU LE TP PHILIPS NEO MLU M,pcs,,168
28.02.2026,NEO,-,Bottom Panel Black,pcs,,1200
28.02.2026,NEO,-,Spine (Version),pcs,,4320
28.02.2026,NEO,-,Spine (Version),pcs,,2880
28.02.2026,NEO,-,Top Panel HE TP Philips MLU Utility Grey,pcs,,1680
28.02.2026,NEO,-,TOP PANEL LE TP PHILIPS NEO MLU MAINS,pcs,,1680
28.02.2026,NEO,-,TOP PANEL LE TP PHILIPS NEO MLU MAINS,pcs,,168
28.02.2026,NEO,-,Bottom Panel Black,pcs,,1020
28.02.2026,NEO,-,Bottom Panel Black,pcs,,180
28.02.2026,NEO,-,Bottom Panel Black,pcs,,120
28.02.2026,RAMBO,-,Battery Frame Rambo,pcs,,3200
28.02.2026,BARACUS,-,Body groom back cover(Version),pcs,,1920
28.02.2026,BARACUS,-,Body groom front cover (Version),pcs,,1440
28.02.2026,RAMBO,-,Motor Top Cap_Rambo,pcs,,600
28.02.2026,RAMBO,-,Motor Top Cap_Rambo,pcs,,2400
28.02.2026,BARACUS,-,Body groom front cover (Version),pcs,,960
28.02.2026,BARACUS,-,Body groom back cover(Version),pcs,,480
28.02.2026,SALT,-,One Blade P-Cap (Version),pcs,,30240
28.02.2026,SALT,-,One Blade P-Cap (Version),pcs,,10800
28.02.2026,SALT,-,One Blade P-Cap (Version),pcs,,2160
28.02.2026,SALT,-,One Blade P-Cap (Version),pcs,,2160
28.02.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,320
28.02.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,320
28.02.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,640
28.02.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,45000
28.02.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,160
28.02.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,160
28.02.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,45000
28.02.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
28.02.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
28.02.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,30000
28.02.2026,NEO,-,DECO PANEL BLACK,pcs,,3600
28.02.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,4800
28.02.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,14400
28.02.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,12000
28.02.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,2400
28.02.2026,XENON,-,BLI Xenon,pcs,,15000
28.02.2026,YIN YANG,-,SFS 2mm Comb YY,pcs,,1600
28.02.2026,YIN YANG,-,SFS 2mm Comb YY,pcs,,1600
28.02.2026,YIN YANG,-,SFS 2mm Comb YY,pcs,,1600
28.02.2026,YIN YANG,-,SFS 5mm Comb YY,pcs,,2720
28.02.2026,YIN YANG,-,SFS Frame YY White,pcs,,6400
28.02.2026,YIN YANG,-,SFS Frame YY White,pcs,,3200
28.02.2026,YIN YANG,-,SFS Frame YY Sage,pcs,,3200
28.02.2026,YIN YANG,-,SFS Frame YY Sage,pcs,,6400
28.02.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,6400
28.02.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,3200
28.02.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,1600
28.02.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,1600
28.02.2026,XENON,-,O/O Button D-Slate Xenon,pcs,,1536
28.02.2026,XENON,-,O/O Button D-Slate Xenon,pcs,,3072
28.02.2026,XENON,-,O/O Button D-Slate Xenon,pcs,,1536
28.02.2026,NEO,-,Comb holder Black,pcs,,4800
28.02.2026,NEO,-,Comb holder Black,pcs,,2880
28.02.2026,NEO,-,TOP PANEL HE TP PHILIPS MLU HC3530,pcs,,672
28.02.2026,PEPPER,-,Release Knob (Version),pcs,,9600
28.02.2026,PEPPER,-,Release Knob (Version),pcs,,9600
28.02.2026,XENON,-,Comb Actuator Xenon,pcs,,3200
28.02.2026,XENON,-,Comb Actuator Xenon,pcs,,3200
28.02.2026,NEO,-,Button Cutter Release Black,pcs,,3120
28.02.2026,NEO,-,Button Cutter Release Black,pcs,,3120
28.02.2026,NEO,-,Button Cutter Release Black,pcs,,1560
28.02.2026,RAMBO,-,Motor End Connector_RK,pcs,,12000
28.02.2026,RAMBO,-,Motor Suspension Plate_RK,pcs,,16000
28.02.2026,XENON,-,Motor Cover Xenon,pcs,,2720
28.02.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
28.02.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
28.02.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
28.02.2026,XENON,-,Motor Cover Xenon,pcs,,2720
28.02.2026,XENON,-,Motor Cover Xenon,pcs,,1360
28.02.2026,YIN YANG,-,Optilight Cover Yin,pcs,,8000
28.02.2026,BARACUS,-,Driving Bridge 41mm Baracus Version,pcs,,9600
28.02.2026,BARACUS,-,Body groom motion conv.(Version),pcs,,2400
28.02.2026,BARACUS,-,Skin Protector Baracus(Version),pcs,,4800
28.02.2026,YIN YANG,-,Head Interface Optilight Black,pcs,,4000
28.02.2026,NEO,-,I/O BUTTON BLACK,pcs,,2400
28.02.2026,NEO,-,I/O BUTTON BLACK,pcs,,4800
28.02.2026,YIN YANG,-,Release Slider YY Black,pcs,,15000
28.02.2026,YIN YANG,-,Head Interface Non Optilight Black,pcs,,4000
28.02.2026,BARACUS,-,FMG HOUSING 41 MM (VERSION),pcs,,3600
28.02.2026,NEO,-,LIGHT GUIDE (VERSION),pcs,,36000
28.02.2026,PEPPER,-,Lock Pin (Version),pcs,,24000
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,960
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,480
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1200
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1440
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1440
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,480
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,9120
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,2400
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1200
02.03.2026,SIGMA,-,Panel Holder,pcs,,25000
02.03.2026,RAMBO,-,Motor Suspension Plate_RK,pcs,,16000
02.03.2026,RAMBO,-,Motor Suspension Plate_RK,pcs,,16000
02.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,8640
02.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,6480
02.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,12960
02.03.2026,XENON,-,O/O Button D-Black TP Blue Xenon,pcs,,1536
02.03.2026,XENON,-,O/O Button D-Black TP Blue Xenon,pcs,,1536
02.03.2026,YIN YANG,-,Head Interface Optilight Arctic White,pcs,,2000
02.03.2026,YIN YANG,-,Optilight Lightguide Yin Yang,pcs,,10000
02.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,960
02.03.2026,JUNIOR ,-,HOUSING PRTED GC6842 Walita,pcs,,180
02.03.2026,JUNIOR ,-,Tray Assy Walita LV,pcs,,144
02.03.2026,JUNIOR ,-,Tray Assy Walita LV,pcs,,24
02.03.2026,JUNIOR ,-,INLAY-LIGHT STRIP ASSY MOLDED Magic Purp,pcs,,210
02.03.2026,JUNIOR ,-,COVER MOLDED# .([^\,pcs,,144
02.03.2026,JUNIOR ,-,Stand Top Molded LV Magic Purple,pcs,,120
02.03.2026,JUNIOR ,-,Stand Top Molded LV Magic Purple,pcs,,45
02.03.2026,JUNIOR ,-,STAND BOTTOM MOLDED#ALPINE WHITE,pcs,,60
02.03.2026,JUNIOR ,-,STAND BOTTOM MOLDED#ALPINE WHITE,pcs,,120
02.03.2026,NEO,-,Spine (Version),pcs,,2520
02.03.2026,NEO,-,Spine (Version),pcs,,720
02.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,12000
02.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,12000
02.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,2400
02.03.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,480
02.03.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,960
02.03.2026,NEO,-,ADJ F1 OFFSET COMB 1-23MM+LEAFLET(BATAM),pcs,,960
02.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
02.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,12000
02.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
02.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
02.03.2026,HERMES,-,Charging Stand Kratos,pcs,,400
02.03.2026,HERMES,-,Charging Stand Kratos,pcs,,200
02.03.2026,HERMES,-,Charging Stand Kratos,pcs,,1400
02.03.2026,HERMES,-,Charging Stand Kratos,pcs,,1200
02.03.2026,HERMES,-,Charging Stand Kratos,pcs,,800
02.03.2026,BARACUS,-,Driving Bridge 41mm Baracus Version,pcs,,9600
02.03.2026,XENON,-,Motor Cover Xenon,pcs,,2720
02.03.2026,XENON,-,Motor Cover Xenon,pcs,,1360
02.03.2026,NEO,-,Comb adjustment button black,pcs,,14400
02.03.2026,YIN YANG,-,SFS 2mm Comb YY,pcs,,1600
02.03.2026,YIN YANG,-,SFS 2mm Comb YY,pcs,,3200
02.03.2026,NEO,-,Comb holder Black,pcs,,2880
02.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,6400
02.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,1600
02.03.2026,XENON,-,O/O Button Louros Xenon,pcs,,1536
02.03.2026,YIN YANG,-,SFS Frame YY Sage,pcs,,3200
02.03.2026,YIN YANG,-,SFS Frame YY Sage,pcs,,6400
02.03.2026,YIN YANG,-,Head Interface Optilight Black,pcs,,4000
02.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,30000
02.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,30000
02.03.2026,XENON,-,Comb Actuator Xenon,pcs,,3200
02.03.2026,YIN YANG,-,Optilight Cover Yin,pcs,,8000
02.03.2026,BARACUS,-,Body groom back cover(Version),pcs,,480
02.03.2026,BARACUS,-,Body groom back cover(Version),pcs,,960
02.03.2026,BARACUS,-,FMG HOUSING 41 MM (VERSION),pcs,,10800
02.03.2026,BARACUS,-,FMG HOUSING 41 MM (VERSION),pcs,,3600
02.03.2026,YIN YANG,-,SFS Frame YY White,pcs,,3200
02.03.2026,NEO,-,Button Cutter Release Black,pcs,,3120
02.03.2026,BARACUS,-,Body groom front cover (Version),pcs,,1440
02.03.2026,YIN YANG,-,Head Interface Non Optilight Black,pcs,,4000
02.03.2026,PEPPER,-,Release Knob (Version),pcs,,9600
02.03.2026,PEPPER,-,Release Knob (Version),pcs,,9600
02.03.2026,NEO,-,Bottom Panel Black,pcs,,1200
02.03.2026,NEO,-,Bottom Panel Black,pcs,,1200
02.03.2026,NEO,-,Bottom Panel Black,pcs,,1200
02.03.2026,YIN YANG,-,Release Slider YY Arctic White,pcs,,15000
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,480
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1680
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1200
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1920
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,240
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1920
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1200
03.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,6480
03.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,4320
03.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,8640
03.03.2026,YIN YANG,-,Optilight Lightguide Yin Yang,pcs,,10000
03.03.2026,RAMBO,-,Motor Suspension Plate_RK,pcs,,16000
03.03.2026,RAMBO,-,Motor Suspension Plate_RK,pcs,,16000
03.03.2026,XENON,-,O/O Button D-Black TP Blue Xenon,pcs,,1536
03.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
03.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
03.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
03.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
03.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
03.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,9600
03.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,4800
03.03.2026,BT-3000,-,COMB 32MM CONV PC_BT3000(VERSION),pcs,,2160
03.03.2026,BT-3000,-,COMB 32MM CONV PC_BT3000(VERSION),pcs,,720
03.03.2026,XENON,-,Comb Actuator Xenon,pcs,,3200
03.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,4800
03.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,7200
03.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,1176
03.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,2016
03.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,168
03.03.2026,BT-3000,-,Frontshell India0_BT3000 PHILIPS logo,pcs,,2400
03.03.2026,XENON,-,Motor Cover Xenon,pcs,,1360
03.03.2026,XENON,-,Motor Cover Xenon,pcs,,1360
03.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,30000
03.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,8640
03.03.2026,BT-3000,-,Decopanel_BT3000 (version),pcs,,2880
03.03.2026,BT-3000,-,Decopanel_BT3000 (version),pcs,,1440
03.03.2026,PEPPER,-,Release Knob (Version),pcs,,9600
03.03.2026,YIN YANG,-,Optilight Cover Yin,pcs,,8000
03.03.2026,BT-3000,-,COMB ACTUATOR_BT3000 (VERSION),pcs,,2400
03.03.2026,SIGMA,-,Panel Holder,pcs,,25000
03.03.2026,PEPPER,-,Lock Pin (Version),pcs,,24000
03.03.2026,YIN YANG,-,Release Slider YY Arctic White,pcs,,15000
03.03.2026,BT-3000,-,ON OFF BUTTON PUSH INDIA0_BT3000(VER),pcs,,6000
03.03.2026,BT-3000,-,Stopper Zoom Wheel India0_BT3000 (versi*,pcs,,5400
03.03.2026,BT-3000,-,Comb Inner Guidance_BT3000 (Version),pcs,,2400
03.03.2026,YIN YANG,-,SFS Frame YY Sage,pcs,,6400
03.03.2026,YIN YANG,-,SFS Frame YY Sage,pcs,,3200
03.03.2026,YIN YANG,-,SFS Frame YY Sage,pcs,,3200
03.03.2026,BT-3000,-,SPINE_BT3000(VERSION),pcs,,1200
03.03.2026,BT-3000,-,SPINE_BT3000(VERSION),pcs,,1800
03.03.2026,BT-3000,-,SPINE_BT3000(VERSION),pcs,,600
03.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,3200
03.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,3200
03.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,1600
03.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,1600
03.03.2026,XENON,-,O/O Button D-Slate Xenon,pcs,,1536
03.03.2026,YIN YANG,-,Head Interface Optilight Black,pcs,,6000
03.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
03.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,12000
03.03.2026,YIN YANG,-,Release Slider YY Black,pcs,,15000
03.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,12000
03.03.2026,BT-3000,-,Frontshell India0_BT3000 PHILIPS logo,pcs,,360
03.03.2026,YIN YANG,-,Head Interface Non Optilight Black,pcs,,2000
03.03.2026,YIN YANG,-,Head Interface Non Optilight Black,pcs,,6000
03.03.2026,YIN YANG,-,SFS 2mm Comb YY,pcs,,6400
03.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,720
04.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1200
04.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,2880
04.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1920
04.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,240
04.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1920
04.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,2160
04.03.2026,ONEBLADE BODY,-,Body Comb (Version),pcs,,17600
04.03.2026,ONEBLADE BODY,-,Body Comb (Version),pcs,,11200
04.03.2026,ONEBLADE BODY,-,Body Comb (Version),pcs,,3200
04.03.2026,BT-3000,-,Frontshell India0_BT3000 PHILIPS logo,pcs,,2400
04.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,420
04.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,924
04.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,336
04.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
04.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
04.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
04.03.2026,RAMBO,-,Motor End Connector_RK,pcs,,6000
04.03.2026,XENON,-,Motor Cover Xenon,pcs,,1360
04.03.2026,XENON,-,Motor Cover Xenon,pcs,,2720
04.03.2026,XENON,-,Comb Actuator Xenon,pcs,,3200
04.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,12000
04.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,4800
04.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,4800
04.03.2026,SIGMA,-,P-Cap 360 Degree Blade,pcs,,7200
04.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,1600
04.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,4800
04.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,3200
04.03.2026,YIN YANG,-,SFS 3mm Comb YY,pcs,,3200
04.03.2026,BT-3000,-,SPINE_BT3000(VERSION),pcs,,1200
04.03.2026,BT-3000,-,SPINE_BT3000(VERSION),pcs,,600
04.03.2026,BARACUS,-,Skin Protector Baracus(Version),pcs,,4800
04.03.2026,BT-3000,-,TACTILE PIN_BT3000 (VERSION),pcs,,36000
04.03.2026,XENON,-,O/O Button D-Slate Xenon,pcs,,1536
04.03.2026,YIN YANG,-,SFS 5mm Comb YY,pcs,,1360
04.03.2026,YIN YANG,-,SFS 5mm Comb YY,pcs,,1360
04.03.2026,YIN YANG,-,SFS Frame YY White,pcs,,3200
04.03.2026,YIN YANG,-,SFS Frame YY White,pcs,,6400
04.03.2026,YIN YANG,-,SFS Frame YY White,pcs,,3200
04.03.2026,BARACUS,-,Body groom front cover (Version),pcs,,2400
04.03.2026,BT-3000,-,COMB 32MM CONV PC_BT3000(VERSION),pcs,,1440
04.03.2026,BARACUS,-,Body groom front cover (Version),pcs,,960
04.03.2026,BT-3000,-,COMB 32MM CONV PC_BT3000(VERSION),pcs,,720
04.03.2026,BARACUS,-,Body groom back cover(Version),pcs,,960
04.03.2026,BARACUS,-,Body groom back cover(Version),pcs,,2400
04.03.2026,RAMBO,-,Motor Suspension Plate_RK,pcs,,16000
04.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,84
04.03.2026,BT-3000,-,Backshell India0_BT3000(version),pcs,,168
04.03.2026,ONEBLADE BODY,-,Body Comb (Version),pcs,,6400
04.03.2026,YIN YANG,-,Head Interface Non Optilight Arctic Wh,pcs,,4000
04.03.2026,SIGMA,-,Panel Holder,pcs,,25000
04.03.2026,SIGMA,-,Panel Holder,pcs,,25000
04.03.2026,BT-3000,-,COMB ACTUATOR_BT3000 (VERSION),pcs,,2400
04.03.2026,BT-3000,-,Comb Inner Guidance_BT3000 (Version),pcs,,2400
04.03.2026,PEPPER,-,Lock Pin (Version),pcs,,24000
04.03.2026,YIN YANG,-,SFS 2mm Comb YY,pcs,,1600
04.03.2026,YIN YANG,-,Head Interface Non Optilight Black,pcs,,2000
04.03.2026,BARACUS,-,Body groom motion conv.(Version),pcs,,2400
04.03.2026,BARACUS,-,Body groom motion conv.(Version),pcs,,2400
04.03.2026,BT-3000,-,Decopanel_BT3000 (version),pcs,,1440
04.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
04.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,15000
04.03.2026,HERMES,-,Coupling Assy Thor BTM,pcs,,30000
04.03.2026,YIN YANG,-,Optilight Lightguide Yin Yang,pcs,,10000
04.03.2026,XENON,-,O/O Button D-Black TP Blue Xenon,pcs,,1536
04.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,10800
04.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,4320
04.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,6480
04.03.2026,XENON,-,Panel Holder Xenon,pcs,,30000
04.03.2026,PEPPER,-,Release Knob (Version),pcs,,9600
04.03.2026,PEPPER,-,Release Knob (Version),pcs,,9600
05.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,960
05.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,2880
04.03.2026,YIN YANG,-,Head Interface Optilight Arctic White,pcs,,4000
05.03.2026,XENON,-,Panel Holder Xenon,pcs,,30000
04.03.2026,XENON,-,O/O Button D-Slate Xenon,pcs,,1536
05.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1920
05.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,240
05.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,2160
05.03.2026,JUNIOR ,-,BUTTON FRAME ASSY#,pcs,,504
05.03.2026,YIN YANG,-,On Off Button TP Black,pcs,,30000
05.03.2026,YIN YANG,-,PCBA Battery Motor Frame 14500,pcs,,1200
05.03.2026,SALT,-,One Blade P-Cap (Version),pcs,,4320
05.03.2026,XENON,-,O/O Button D-Black TP Blue Xenon,pcs,,1536
05.03.2026,JUNIOR ,-,HOUSING PRTED#,pcs,,306
05.03.2026,JUNIOR ,-,CHASSIS MOLDED# ALPINE WHITE,pcs,,480
05.03.2026,JUNIOR ,-,HOUSING PRTED#,pcs,,18
05.03.2026,JUNIOR ,-,STAND TOP MOLDED Blue Pavone,pcs,,330
05.03.2026,JUNIOR ,-,COVER MOLDED# .([^\,pcs,,324
05.03.2026,JUNIOR ,-,IRON BOTTOM CAP MOLDED# ALPINE WHITE,pcs,,576
05.03.2026,JUNIOR ,-,TRAY ASSY GC6815,pcs,,90
05.03.2026,JUNIOR ,-,TRAY ASSY GC6815,pcs,,72
05.03.2026,JUNIOR ,-,TRAY ASSY GC6815,pcs,,126
05.03.2026,JUNIOR ,-,TRAY ASSY GC6815,pcs,,36
05.03.2026,JUNIOR ,-,FILLING DOOR MOLDED Trans Deep Petrol,pcs,,800
05.03.2026,JUNIOR ,-,INLET FRAME MOLD#,pcs,,1500
05.03.2026,JUNIOR ,-,INLAY-LIGHT STRIP ASSY MOLDED Blue Pavon,pcs,,420
05.03.2026,JUNIOR ,-,STAND BOTTOM MOLDED#ALPINE WHITE,pcs,,320
